Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
4,2107,1177,50782,4,5,0,0,60,7,10,15,57,24,14,5
3,2316,802,72700,1,1,0,0,77,8,10,3,30,38,20,13
2,2301,1440,97791,7,3,0,0,61,21,4,4,30,8,34,28
4,2248,2273,58009,1,0,1,0,67,12,12,7,42,25,22,12
4,2293,1777,61896,24,0,2,0,54,7,6,7,36,30,10,25
4,2294,1438,54258,50,0,0,0,36,4,6,5,21,24,35,21
4,2280,1813,51155,16,0,0,0,74,1,4,5,46,32,20,3
5,1934,1958,40134,55,0,1,0,35,3,0,6,27,34,31,8
5,2221,1920,43847,56,0,0,0,31,1,10,2,26,34,31,9
5,1920,1660,41994,66,0,0,0,18,4,7,5,16,44,23,17
4,2388,1173,54541,5,0,0,0,82,2,1,10,46,35,12,7
4,1461,2124,35769,52,1,3,0,18,14,7,5,11,35,35,19
3,2116,1574,61420,45,0,0,1,32,10,2,11,26,28,27,19
3,1977,2318,61869,38,0,1,0,38,11,8,4,21,40,23,16
4,2468,1851,67426,8,1,0,0,68,5,6,12,40,18,20,22
3,2278,1530,73928,5,0,0,0,55,17,4,18,52,10,10,28
3,2479,884,71558,1,0,0,0,65,10,12,12,31,33,21,15
3,2126,1481,65939,0,0,0,0,78,4,11,7,55,30,10,5
3,2304,1558,72865,0,0,0,0,78,4,4,13,55,18,22,5
4,2554,1064,64656,0,1,0,0,73,7,14,5,48,32,14,6
4,2104,1508,50261,1,0,0,0,71,2,3,23,62,26,7,5
4,2077,761,49243,0,1,0,0,76,5,12,6,48,34,15,3
2,1571,2039,70569,7,0,1,0,57,15,11,9,32,20,23,25
3,1699,1320,67451,8,1,0,0,63,15,8,6,31,45,13,11
1,2229,1113,179432,1,0,4,0,9,85,1,0,0,0,10,90
2,1970,2493,98697,25,1,4,0,24,41,5,0,13,19,25,44
3,1208,1217,44134,9,0,0,0,58,22,1,10,37,28,32,3
3,1278,1455,44781,9,0,0,0,47,17,3,23,66,21,11,2
3,1207,1666,45711,3,0,0,0,62,12,2,20,49,37,10,4
2,967,1064,41355,1,0,0,0,46,22,4,26,72,22,3,3
1,3119,684,299820,1,0,0,0,3,94,2,0,0,2,15,83
1,2758,1664,224137,3,0,1,0,15,78,3,0,7,6,19,68
1,2948,786,218720,1,0,7,0,8,80,4,0,3,13,13,71
1,4053,1062,360583,0,0,6,0,2,87,3,0,1,2,3,95
1,3032,792,244589,0,0,6,0,3,87,3,0,1,3,19,78
1,1888,1286,165547,0,0,8,0,5,86,0,0,0,4,12,84
1,2881,1570,206636,0,0,2,0,5,88,5,0,4,2,16,77
2,2442,1353,160530,3,0,3,0,4,88,2,1,2,5,38,55
2,1910,1358,93862,21,0,0,1,11,56,0,12,8,26,21,45
2,1681,1631,111835,18,0,10,0,15,50,4,3,7,24,16,53
2,1876,1914,110529,29,0,7,0,5,46,9,4,8,21,24,47
1,2768,1103,208528,5,1,6,0,4,83,1,1,0,2,10,88
3,1255,1930,43620,33,0,33,0,13,10,3,7,39,18,31,12
3,1226,1227,45376,28,0,7,0,20,23,2,20,14,27,31,28
3,1162,1626,45301,24,0,12,0,26,13,6,19,21,36,27,16
1,1052,1038,97239,24,0,3,0,12,47,4,9,1,8,24,67
1,967,900,74100,24,0,6,0,28,26,6,10,8,13,24,54
1,2666,772,189905,1,0,2,0,2,84,11,0,1,12,16,71
2,1681,2571,84711,25,1,3,0,18,39,3,10,5,38,32,25
1,934,879,79228,26,0,5,0,22,36,6,6,1,5,31,63
2,1207,1453,53792,33,0,0,1,19,29,5,12,5,22,36,37
2,1284,2456,63667,60,0,6,0,6,18,8,2,3,9,45,43
3,2231,998,68664,68,0,2,0,14,4,4,7,4,16,47,33
3,1065,1106,37366,12,0,3,0,31,23,4,27,21,36,19,25
3,1057,1213,41056,47,1,4,0,22,14,3,9,16,40,27,17
3,1224,1230,39341,11,0,30,0,27,14,4,13,47,23,12,18
3,1142,1093,38439,34,0,0,0,14,11,31,11,32,30,21,17
3,1140,1520,45552,58,3,0,2,13,22,2,0,16,34,30,19
2,1351,1550,56704,43,0,0,0,21,31,3,3,17,15,42,25
1,1968,2542,133583,5,0,3,0,5,82,1,3,1,11,25,62
1,1903,997,159049,4,0,2,0,7,82,5,0,2,3,22,73
1,2805,989,238586,1,1,1,0,0,97,1,0,2,7,11,80
1,1068,1428,74576,15,0,31,0,6,34,3,10,2,7,18,73
1,967,2003,67254,13,0,14,0,6,49,17,0,0,1,11,87
1,1085,1126,77798,13,0,13,0,3,57,5,9,0,4,29,66
1,1123,1821,106737,11,0,4,0,6,68,8,2,1,8,14,78
1,1030,1859,80322,13,0,19,0,6,60,1,0,8,10,27,56
1,1027,1085,76872,3,0,13,0,10,61,6,6,0,12,14,74
1,983,829,93913,4,0,20,0,7,64,4,1,0,0,14,86
1,2594,2650,252623,1,1,5,0,5,87,1,0,0,1,5,95
2,1125,1207,73778,5,0,2,0,20,66,4,3,0,18,31,51
1,2433,1818,192589,8,0,0,0,9,72,10,0,0,6,17,77
2,2028,1472,126098,10,0,5,0,25,55,3,1,11,10,20,59
4,2194,1673,54497,1,0,0,0,57,12,23,6,44,24,21,11
5,2350,1184,47078,9,0,0,0,79,10,1,1,30,50,16,4
4,2230,1197,58112,15,0,0,0,57,16,11,1,45,29,15,11
7,2163,1160,32176,66,0,0,0,19,2,12,1,26,40,29,5
6,1728,2016,29198,79,0,0,0,9,1,4,7,30,45,18,6
6,2219,1020,38325,48,0,0,0,34,7,11,0,31,41,20,8
8,1924,1691,25476,79,0,0,0,16,1,0,4,27,54,14,6
5,2281,510,46555,55,0,0,0,13,2,0,30,34,23,31,12
5,2056,1151,42599,74,1,0,0,14,2,3,6,17,36,31,16
6,2107,1762,38183,69,1,0,0,15,1,0,13,38,37,21,3
3,1971,1695,58329,20,0,0,0,44,8,22,5,27,46,24,3
4,1993,1388,45401,14,0,1,0,56,10,12,6,38,39,21,1
4,2101,1951,56363,19,0,0,0,47,12,17,5,23,39,24,14
